Field,Confidence,N,All Sources,Binary,Binary Notes,Outflow Source,Outflow Source Notes,Blue Lobe Notes,Red Lobe Notes,Other Notes,V_sys,Blue Channels,Red Channels,Blue First Angle,Blue Second Angle,Blue Center Angle,Blue Center Corrected,Red First Angle,Red Second Angle,Red Center Angle,Red Center Corrected,Average Angle (Red),Lobe PA Offset
Per-emb-22,HIGH,2,"A, B",A+B,"Visually distinct, separated",A+B,Can't distinguish outflow source. ,"Sharp v-shape, shell structure travelling outward as well",Sharp v-shape,,4,138-144,155-170,-25.14,-84.88,-55.01,124.99,102.33,163.03,132.68,132.68,128.835,7.69
Per-emb-33,HIGH,3,"A, B, C",,"Visually distinct, touching",C,,,"Appears hidden within outflow from A+B, but has defined edges within",,4,,154-165,,,,,102.15,113.16,107.655,107.655,107.655,
Per-emb-33,HIGH,3,"A, B, C",A+B,"Visually distinct, touching",A+B,Can't distinguish outflow source. ,"Unclear outflow, possibly something there",Sharp v-shape,,4,,154-164,,,,,99.49,147.05,123.27,123.27,123.27,
Per-emb-17,HIGH,2,"A, B",A+B,"Visually distinct, touching",A+B,Can't distinguish outflow source. ,"Sharp v-shape at source, somewhat faint, other mess within the cone","V-shape, slightly messy",,6,144-148,156-162,-91.37,-141.33,-116.35,63.65,5.82,89.48,47.65,47.65,55.65,16
Per-emb-35,HIGH,2,"A, B",A+B,"Visually distinct, separated",A,,Diffuse v-shape,no outflow,,8.6,,159-164,107,130.8,118.9,298.9,,,,,298.9,
Per-emb-35,HIGH,2,"A, B",A+B,"Visually distinct, separated",B,,Faint/unclear,Diffuse v-shape,,8.6,,159-163,-38.25,-66.32,-52.285,127.715,112.46,152.84,132.65,132.65,130.1825,4.935
Per-emb-27,HIGH,2,"A, B",A+B,"Visually distinct, separated",A,,"Sharp v-shape, some shock curves within",Sharp v-shape,,8,142-148,161-165,-113.86,-176.94,-145.4,34.6,31.95,-10.19,10.88,10.88,22.74,23.72
Per-emb-27,HIGH,2,"A, B",A+B,"Visually distinct, separated",B,,,"Distorted shape, edges seem to twist around each other and change pointing direction",,8,142-149,161-166,,,,,94.96,132.88,113.92,113.92,113.92,
Per-emb-36,LOW,2,"A, B",A+B,"Visually distinct, separated, B very faint",A+B,Can't distinguish outflow source. ,Unclear,"V-shape, faint, low s/n, shape slightly unclear",,8,144-149,162-167,132.04,284.83,208.435,28.435,44.4,84.52,64.46,64.46,46.4475,36.025
Per-emb-44,LOW,2,"A, B",A+B,"Visually distinct, touching",A+B,Can't distinguish outflow source. ,Some sort of unclear shell/bubble structure,"U-shape, additional wider arc behind binary",,8,93-104,169-175,50.75,179.02,114.885,294.885,28,-62.05,-17.025,342.975,318.93,48.09
Per-emb-12,HIGH,2,"A, B",A+B,"Visually distinct, separated",B,,"Sharp v-shape, distinct, sort of offset from the source, appears to curve away","Sharp v-shape, left side is buried under outflow from other source, not clear",,7.96,140-147,159-164,-134.41,-163.37,-148.89,31.11,7.12,43.21,25.165,25.165,28.1375,5.945
Per-emb-12,HIGH,2,"A, B",A+B,"Visually distinct, separated",A,,"Sharp v-shape, distinct",Diffuse v-shape,,7.96,140-147,159-164,153.7,188.06,170.88,-9.12,-15.21,34.84,9.815,9.815,0.3475,18.935
Per-emb-18,HIGH,2,"A, B",A+B,"Visually distinct, touching, elongated",A+B,Can't distinguish outflow source. ,"No clear outflow shapes around binary, lots of other mess in the field","Sharp v-shape north side, some outflow on south side too",not visible in m8,8.6,,160-165,,,,,16.64,-43.55,-13.455,346.545,346.545,
Per-emb-2,HIGH,2,"A, B, C, D",A+B,"Not touching, enmeshed in some structure",B,,"Sharp v-shape, becomes diffuse halfway out","Sharp v-shape, distinct",,6.6,146-150,158-163,104.62,145.95,125.285,305.285,-34.14,-71.74,-52.94,307.06,306.1725,1.775
HOPS-32,HIGH,2,"A, B",A+B,"Visually distinct, barely touching",B,,"Sharp v-shape, distinct","Sharp v-shape, eastern arm disrupted",High inclination,8.5,95-98,102-106,16.86,-63.15,-23.145,156.855,133.62,188.85,161.235,161.235,159.045,4.38
HOPS-12,HIGH,3,"A, BA, BB",BA+BB,"Visually distinct, touching",BA,"hard to distinguish, possibly two overlapping, two origins visible","Sharp v-shape, before red v-lobe appears there is a shell structure aligned with the outflow direction but further out.","Sharp v-shape, southern edge is very faint, western edge is very bright.",,8.5,92-97,103-107,0,-43.9,-21.95,158.05,138.76,173.63,156.195,156.195,157.1225,1.855
HOPS-12,HIGH,3,"A, BA, BB",,,A,,Diffuse v-shape,Shape unclear,,8.5,92-97,,24.61,-70.65,-23.02,156.98,,,,,156.98,
HOPS-92,HIGH,3,"AA, AB, B",AA+AB,"Visually distinct, touching; AA is bigger/brighter; disk semimajor axes appear aligned",AA+AB,"hard to distinguish, possibly two overlapping, two sets of v's visible",Not present/apparent,"V-shape, curved at the base then straight. Appears like two overlapping outflows. Some messiness in the middle.",,10,,106-112,,,,,73.98,78.08,76.03,76.03,76.03,
HOPS-92,HIGH,3,"AA, AB, B",,,B,,"Shallow v-shape, slightly curved at base. It widens ~uniformly further out",Unclear,,10,93-97,,82.93,94.59,88.76,268.76,,,,,268.76,
HOPS-84,HIGH,2,"A, B",A+B,"Visually distinct, A much bigger/brighter",A+B,"hard to distinguish, possibly two overlapping, two origins visible","Sharp, narrow, and extended v-shape, very strong","Faint outline of a v-shape, low S/N",,10.5,98-100,"104, 106-107",-83.9,-107.63,-95.765,84.235,70.69,92.1,81.395,81.395,82.815,2.84
HOPS-75,LOW,2,"A, B",A+B,Not visually distinct,A+B,Can't distinguish outflow source. ,"Diffuse c-shape, offset from binary, unclear",Possible v-shape buried under a mess,,11,,106-108,,,,,62.03,137.31,99.67,99.67,99.67,
HOPS-182,HIGH,3,"A, B, C",A+B,"Visually distinct, separated, A is bigger/brighter",A+B,"Unclear, possibly two outflows","U-shape, messy","Sharp v-shape, distinct",,7.5,88-93,104-107,57.37,67.92,62.645,242.645,-114.83,-151.89,-133.36,226.64,234.6425,16.005
HOPS-168,HIGH,2,"A, B ",A+B,Not visually distinct,A+B,Can't distinguish outflow source,"Sharp v-shape, wide, early channels show ripples","Sharp v-shape, wide, weird feature behind outflow",,9,91-98,104-115,21.38,-58.12,-18.37,161.63,123.98,190.16,157.07,157.07,159.35,4.56
HOPS-203,HIGH,3,"A, B, C",A+B,Not visually distinct,A+B,Can't distinguish outflow source,"Sharp v-shape, distinct",Unclear,Strong outflow on the same side in both red and blue channels,10,96-100,,-8.18,-64.2,-36.19,143.81,,,,,143.81,
HOPS-203,HIGH,3,"A, B, C",,,C,,"U-shape, wider, but distinct",Not present/apparent,,10,96-100,,-52.99,-105.17,-79.08,100.92,,,,,100.92,
