Main,Source,dec_offset,ra_offset
Per-emb-22,Per-emb-22-B,-0.025,0.08
Per-emb-22,Per-emb-22-A,-0.025,0.18
L1448 IRS3C,L1448 IRS3C-A,0.05,-0.05
L1448 IRS3C,L1448 IRS3C-B,0.05,-0.05
Per-emb-33,Per-emb-33-B,0,0.1
Per-emb-33,Per-emb-33-A,0,0
Per-emb-33,Per-emb-33-C,0.05,0.05
Per-emb-17,Per-emb-17-A,-0.075,0.125
Per-emb-17,Per-emb-17-B,-0.075,0.125
Per-emb-35,Per-emb-35-A,0,0.05
Per-emb-35,Per-emb-35-B,0,0
Per-emb-27,Per-emb-27-B,-0.05,0.05
Per-emb-27,Per-emb-27-A,0,0
Per-emb-36,Per-emb-36-B,-0.1,0
Per-emb-36,Per-emb-36-A,-0.075,0.1
Per-emb-44,Per-emb-44-B,-0.05,0.075
Per-emb-44,Per-emb-44-A,-0.05,0.1
Per-emb-12,Per-emb-12-B,-0.1,0
Per-emb-12,Per-emb-12-A,-0.1,0.1
Per-emb-18,Per-emb-18-B,0.05,0
Per-emb-18,Per-emb-18-A,0.1,0.2
Per-emb-2,Per-emb-2-E,0,0
Per-emb-2,Per-emb-2-B,0,0
Per-emb-2,Per-emb-2-C,0,0
Per-emb-2,Per-emb-2-A,0,0
Per-emb-2,Per-emb-2-D,0,0
HOPS-32,HOPS-32-B,0,0
HOPS-32,HOPS-32-A,0,0
HOPS-28,HOPS-28-B,0,0
HOPS-28,HOPS-28-A,0,0
HOPS-43,HOPS-43,0,0
HOPS-45,HOPS-45-B,0,0
HOPS-45,HOPS-45-A,0,0
HOPS-12,HOPS-12-A,0,0
HOPS-12,HOPS-12-B-A,0,0
HOPS-12,HOPS-12-B-B,0,0
HOPS-92,HOPS-92-B,0,0
HOPS-92,HOPS-92-A-B,0,0
HOPS-92,HOPS-92-A-A,0,0
HOPS-56,HOPS-56-B,0,0
HOPS-56,HOPS-56-A-B,0,0
HOPS-56,HOPS-56-A-C,0,0
HOPS-56,HOPS-56-A-A,0,0
HOPS-70,HOPS-70-C,0,0
HOPS-70,HOPS-70-A-A,0,0
HOPS-70,HOPS-70-A-B,0,0
HOPS-70,HOPS-70-B-A,0,0
HOPS-70,HOPS-70-B-B,0,0
HOPS-84,HOPS-84-B,0,0
HOPS-84,HOPS-84-A,0,0
HOPS-75,HOPS-75-B,0,0
HOPS-75,HOPS-75-A,0,0
HOPS-85,HOPS-85-A,0,0
HOPS-85,HOPS-85-B,0,0
HOPS-77,HOPS-77-B,0,0
HOPS-77,HOPS-77-A-A,0,0
HOPS-77,HOPS-77-A-B,0,0
HOPS-182,HOPS-182-C,0,0
HOPS-182,HOPS-182-B,0,0
HOPS-182,HOPS-182-A,0,0
HOPS-168,HOPS-168-A,0,0
HOPS-168,HOPS-168-B,0,0
HOPS-203,HOPS-203-B,0,0
HOPS-203,HOPS-203-A,0,0
HOPS-203,HOPS-203-C,0,0
HOPS-173,HOPS-173-A,0,0
HOPS-173,HOPS-173-B,0,0
HOPS-193,HOPS-193-A,0,0
HOPS-193,HOPS-193-B,0,0
HOPS-163,HOPS-163-A,0,0
HOPS-163,HOPS-163-B,0,0
HOPS-158,HOPS-158-A,0,0
HOPS-158,HOPS-158-B,0,0
HOPS-138,HOPS-138-A,0,0
HOPS-138,HOPS-138-B,0,0
HOPS-395,HOPS-395-B,0,0
HOPS-395,HOPS-395-A,0,0
HOPS-288,HOPS-288-A-A,0,0
HOPS-288,HOPS-288-A-B,0,0
HOPS-288,HOPS-288-B,0,0
HOPS-290,HOPS-290-B,0,0
HOPS-290,HOPS-290-A,0,0
HOPS-281,HOPS-281-B,0,0
HOPS-281,HOPS-281-A,0,0
HOPS-282,HOPS-282-B,0,0
HOPS-282,HOPS-282-A,0,0
HOPS-242,HOPS-242-A,0,0
HOPS-242,HOPS-242-B,0,0
HOPS-255,HOPS-255-B,0,0
HOPS-255,HOPS-255-A,0,0
HOPS-261,HOPS-261-A,0,0
HOPS-261,HOPS-261-B,0,0
HOPS-248,HOPS-248-B,0,0
HOPS-248,HOPS-248-A,0,0
HOPS-357,HOPS-357-A,0,0
HOPS-357,HOPS-357-B,0,0
HOPS-384,NGC2024-FIR3-A,0,0
HOPS-384,NGC2024-FIR3-B,0,0
HOPS-384,HOPS-384-region-G,0,0
HOPS-384,HOPS-384-B,0,0
HOPS-384,HOPS-384-A,0,0
HOPS-384,HOPS-384-A-B,0,0
HOPS-384,HOPS-384-C,0,0
HOPS-384,HOPS-384-region-D,0,0
HOPS-384,HOPS-384-region-E,0,0
HOPS-384,HOPS-384-region-H,0,0
HOPS-304,HOPS-304-B,0,0
HOPS-304,HOPS-304-A,0,0
HOPS-400,HOPS-400-A,0,0
HOPS-400,HOPS-400-B,0,0
HOPS-213,HOPS-213-B,0,0
HOPS-213,HOPS-213-A,0,0
HOPS-312,HOPS-312-A,0,0
HOPS-312,HOPS-312-B,0,0
HOPS-363,HOPS-363-A,0,0
HOPS-363,HOPS-363-B,0,0
HOPS-323,HOPS-323-B,0,0
HOPS-323,HOPS-323-A,0,0
HOPS-366,HOPS-366-A,0,0
HOPS-366,HOPS-366-B,0,0
HOPS-361,HOPS-361-I,0,0
HOPS-361,HOPS-361-D,0,0
HOPS-361,HOPS-361-J,0,0
HOPS-361,HOPS-361-E-B,0,0
HOPS-361,HOPS-361-E-A,0,0
HOPS-361,HOPS-361-C-B,0,0
HOPS-361,HOPS-361-C-A,0,0
HOPS-361,HOPS-361-B,0,0
HOPS-361,HOPS-361-A,0,0
HOPS-361,HOPS-361-F,0,0
HOPS-361,HOPS-361-H,0,0
HOPS-361,HOPS-361-G-A,0,0
HOPS-361,HOPS-361-G-B,0,0
HOPS-364,HOPS-364-B,0,0
HOPS-364,HOPS-364-A,0,0
HH270VLA1,HH270VLA1-A,0,0
HH270VLA1,HH270VLA1-B,0,0
