Name	Source	RA	Dec	Separation	sigma_major_by_sigma_minor	sigma _error	P.A.	P.A. Error	i	i Error	T _B	Int. Intensity	
L1448 IRS1	-A	+03:25:09.455	+30:46:21.84	-	62 x 29	2	24.7	1.6	62.7	4.2	80.4	9.8	
-	-B	+03:25:09.418	+30:46:20.53	418	51 x 40	4	124.0	13.7	38.3	6.1	30.7	4.1	
Per2	-A	+03:32:17.935	+30:49:47.63	-	62 x 28	45	19.0	90.0	63.4	126.9	4.6	0.3	
-	-B	+03:32:17.932	+30:49:47.70	27	62 x 28	45	19.0	90.0	63.4	126.9	7.0	0.5	
-	-C	+03:32:17.934	+30:49:47.29	101	150 x 116	18	121.0	25.3	39.4	11.1	10.9	9.1	
-	-D	+03:32:17.946	+30:49:46.30	400	62 x 28	45	19.0	90.0	63.4	126.9	9.0	0.6	
-	-E	+03:32:17.920	+30:49:48.19	179	88 x 65	27	157.6	48.4	42.6	30.8	5.0	1.6	
Per5	-	+03:31:20.942	+30:45:30.19	-	331 x 215	6	30.4	2.2	49.5	2.3	57.4	176.2	
Per27	-A	+03:28:55.575	+31:14:36.92	-	80 x 66	2	115.6	7.9	34.0	2.4	264.1	83.6	
-	-B	+03:28:55.568	+31:14:36.31	185	63 x 35	4	17.0	4.0	55.8	7.6	66.3	10.9	
Per17	-A	+03:27:39.112	+30:13:02.98	-	48 x 37	1	117.8	4.4	40.6	1.9	130.4	15.9	
-	-B	+03:27:39.123	+30:13:02.73	84	99 x 52	3	158.5	2.5	58.6	4.6	32.2	8.2	
Per18	-A	+03:29:11.267	+31:18:30.99	-	62 x 36	10	63.4	16.2	54.3	26.0	30.4	5.7	
-	-B	+03:29:11.260	+31:18:30.97	28	94 x 40	12	77.0	8.7	64.8	27.9	25.5	7.3	
Per21		-	+03:29:10.674	+31:18:20.09	-	50 x 47	2	83.1	26.1	21.8	1.8	85.4	15.9	
Per22	-A	+03:25:22.417	+30:45:13.16	-	44 x 28	2	37.0	4.7	50.0	5.8	130.5	12.9	
-	-B	+03:25:22.359	+30:45:13.08	227	18 x 15	2	13.7	52.5	33.4	8.2	74.8	4.0	
Per33	-A	+03:25:36.324	+30:45:14.81	-	32 x 12	8	27.1	12.5	68.6	67.9	54.3	3.3	
-	-B	+03:25:36.318	+30:45:15.06	78	78 x 55	4	34.3	8.7	44.6	5.5	49.3	11.2	
-	-C	+03:25:36.387	+30:45:14.64	248	193 x 168	4	44.0	7.1	29.2	1.3	54.5	76.1	
L1448 IRS3A+	-	+03:25:36.502	+30:45:21.83	-	677 x 233	24	134.2	1.7	69.9	7.6	4.5	30.1	
L1448 IRS3C	-A	+03:25:35.675	+30:45:34.02	-	149 x 96	5	18.9	3.9	50.1	4.1	115.8	73.7	
-	-B	+03:25:35.678	+30:45:34.26	72	72 x 43	16	17.9	37.0	53.4	30.2	79.6	13.7	
Per35	-A	+03:28:37.097	+31:13:30.72	-	81 x 33	2	31.6	1.0	66.0	3.6	78.6	14.7	
-	-B	+03:28:37.225	+31:13:31.67	570	91 x 27	2	48.0	1.1	72.8	4.3	62.3	12.7	
Per36	-A	+03:28:57.379	+31:14:15.67	-	163 x 97	2	104.3	1.1	53.7	1.2	126.1	100.6	
-	-B	+03:28:57.373	+31:14:15.98	95	51 x 42	6	82.3	37.9	35.1	10.1	49.0	9.0	
Per44	-A	+03:29:03.772	+31:16:03.71	-	70 x 66	4	77.3	47.4	20.6	2.4	199.3	57.0	
-	-B	+03:29:03.748	+31:16:03.73	92	146 x 120	5	70.6	9.4	35.1	2.7	102.8	85.3	
SVS13A2+	-	+03:29:03.391	+31:16:01.53	-	49 x 33	7	4.7	23.1	48.2	16.1	59.0	8.6	
SVS13B+	-	+03:29:03.085	+31:15:51.64	-	218 x 131	18	79.4	8.5	53.2	11.2	21.4	28.0
