Source	R.A.	Decl.	Int. Flux	Peak Flux	theta_maj x theta_min	PA	Deconv. theta_maj	Deconv. theta_min	Deconv. PA	Extended Flux	1.3-9.1 mm^a	
Per-emb-12-A	3:29:10.53	31:13:30.99	1503.7 +or- 29.2	180.7 +or- 3.2	0.77 x 0.64	50.9	0.73 +or- 0.02	0.61 +or- 0.02	58.2 +or- 6.1	3270 +or- 140.0	2.9 - 2.7 +or- 0.07	
Per-emb-12-B	3:29:10.43	31:13:32.15	434.2 +or- 7.9	128.6 +or- 3.2	0.49 x 0.43	119.9	0.46 +or- 0.02	0.33 +or- 0.02	116.4 +or- 9.8	-99.0 +or- -99.0	3.7 - 3.3 +or- 0.08	
Per-emb-17-A	3:27:39.10	30:13:03.08	26.1 +or- 0.5	22.9 +or- 0.2	0.28 x 0.17	21.0	0.11 +or- 0.01	0.062 +or- 0.01	15.0 +or- 8.8	55.0 +or- 7.0	2.2 - 2.1 +or- 0.07	
Per-emb-17-B	3:27:39.11	30:13:02.85	20.4 +or- 0.5	15.9 +or- 0.2	0.31 x 0.2	18.6	0.16 +or- 0.01	0.11 +or- 0.01	7.1 +or- 11.3	-99.0 +or- -99.0	2.8 +or- 0.09	
Per-emb-18	3:29:11.26	31:18:31.03	145.2 +or- 1.4	29.0 +or- 0.3	0.74 x 0.31	72.3	0.70 +or- 0.01	0.19 +or- 0.01	75.4 +or- 0.3	150.0 +or- 9.0	3.0 - 2.8 +or- 0.07	
Per-emb-21	3:29:10.66	31:18:20.10	49.3 +or- 0.5	44.3 +or- 0.3	0.29 x 0.18	21.7	0.083 +or- 0.01	0.065 +or- 0.01	32.4 +or- 17.8	53.0 +or- 4.0	2.4 +or- 0.08	
Per-emb-22-A	3:25:22.40	30:45:13.21	33.6 +or- 0.7	18.8 +or- 0.2	0.36 x 0.23	35.9	0.27 +or- 0.01	0.16 +or- 0.01	49.7 +or- 3.4	74.0 +or- 12.0	2.6 - 2.2 +or- 0.08	
Per-emb-22-B	3:25:22.35	30:45:13.14	10.1 +or- 0.2	8.5 +or- 0.2	0.26 x 0.15	20.6	0.0 +or- 0.0	0.0 +or- 0.0	0.0 +or- 0.0	-99.0 +or- -99.0	2.7 - 2.2 +or- 0.09	
Per-emb-27-A	3:28:55.57	31:14:36.95	162.5 +or- 2.1	108.5 +or- 0.8	0.31 x 0.21	24.1	0.17 +or- 0.01	0.14 +or- 0.01	46.5 +or- 10.0	290.0 +or- 27.0	2.5 - 2.4 +or- 0.07	
Per-emb-27-B	3:28:55.56	31:14:36.38	26.8 +or- 2.5	15.4 +or- 0.8	0.40 x 0.22	25.4	0.29 +or- 0.05	0.15 +or- 0.02	29.0 +or- 10.8	-99.0 +or- -99.0	2.4 +or- 0.09	
Per-emb-2	3:32:17.92	30:49:47.85	571.8 +or- 9.7	20.5 +or- 0.7	1.22 x 0.83	173.8	1.20 +or- 0.02	0.81 +or- 0.01	172.6 +or- 1.8	570.0 +or- 34.0	2.9 +or- 0.07	
