Field,Sources,Outflow Source,Outflow Notes,System Velocity (km/s),Blue First Angle,Blue Second Angle,Blue Center Angle,Blue Center Corrected,Red First Angle,Red Second Angle,Red Center Angle,Red Center Corrected,Average Angle (Blue),Error
HH270VLA1,"A, B",A+B,,9,18.22,82.42,50.32,50.32,-96.54,-163.93,-130.235,49.765,50.0425,0.555
HOPS-12,"A, BA, BB",BA+BB,"Closer to BA than BB, might be two outflows overlapping",8.5,138.76,173.63,156.195,156.195,0,-43.9,-21.95,158.05,157.1225,1.855
HOPS-32,"A, B",A+B,"Closer to B, double outflows on red side, ghost doesn't line up",8.5,133.62,188.85,161.235,161.235,16.86,-63.15,-23.145,156.855,159.045,4.38
HOPS-84,"A, B",A+B,"Very strong blue lobe centered on B, and very faint red lobe on A; A is the brighter source",10.5,70.69,92.1,81.395,81.395,-83.9,-107.63,-95.765,84.235,82.815,2.84
HOPS-168,"A, B ",A+B,,9,123.98,190.16,157.07,157.07,21.38,-58.12,-18.37,161.63,159.35,4.56
HOPS-281,"A, B",A+B,Outflow from A; B not visible in continuum or outflow,4.5,-0.15,54.88,27.365,27.365,163.36,245.99,204.675,24.675,26.02,2.69
HOPS-312,"A, B",A+B,"red lobe closer to A, blue lobe closer to B",3,-117.52,-170.95,-144.235,215.765,8.94,65.02,36.98,216.98,216.3725,1.215
HOPS-364,"A, B",A+B,,10,-61.58,-123.33,-92.455,267.545,91.14,118.98,105.06,285.06,276.3025,17.515
HOPS-395,"A, B",A+B,,5,164.14,170.53,167.335,167.335,10.5,-8.5,1,181,174.1675,13.665
HOPS-400,"A, B",A+B,"Coming from A, but B star looks brighter",9,-91.04,-114.86,-102.95,257.05,87.76,104.72,96.24,276.24,266.645,19.19
HOPS-290,"A, B",A+B,Both lobes clear,5,-48.18,-80.78,-64.48,295.52,88.16,134.87,111.515,291.515,293.5175,4.005
HOPS-92,"AA, AB, B",AA+AB,No red lobe,10,73.98,78.08,76.03,76.03,,,,,76.03,76.03
HOPS-182,"A, B, C",A+B,Coming from between A and B,7.5,-114.83,-151.89,-133.36,226.64,57.37,67.92,62.645,242.645,234.6425,16.005
HOPS-288,"AA, AB, B",AA+AB,"Very confusing, with outflow from B being so close",5,25.52,85.69,55.605,55.605,-100.13,-147.13,-123.63,56.37,55.9875,0.765
HOPS-323,"A, B",A+B,"Red side has two distinct outflows from A and B, but in the same direction",11,-38.6,-67.9,-53.25,306.75,97.01,141.85,119.43,299.43,303.09,7.32
HOPS-203,"A, B, C",A+B,"Blue lobe is unclear, disrupted by outflow from C possibly",10,,,,,-8.18,-64.2,-36.19,143.81,143.81,143.81
HOPS-282,"A, B",A+B,"Can't tell which lobe is which, outflows faint",5,133.72,228.11,180.915,180.915,45.83,-35.74,5.045,185.045,182.98,4.13
HOPS-366,"A, B",A+B,"not visible in m8, very fast speeds, blue lob unclear",9,,,,,-6.01,-80.75,-43.38,136.62,136.62,136.62
HOPS-193,"A, B",A+B,"very faint, but there",8.5,39.26,156.43,97.845,97.845,-45.11,-136.01,-90.56,89.44,93.6425,8.405
HOPS-304,"A, B",A+B,"not visible in m8, but obvious in velocity channels",10,0.06,-26.65,-13.295,346.705,125.67,147.26,136.465,316.465,331.585,30.24
HOPS-361-N,"A, B, CA, CB",CA+CB,"not visibile in m8, but red lobe obvious, blue lobe unclear, possible secondaries",9,,,,,3.11,38.8,20.955,200.955,200.955,200.955
HOPS-363,"A, B",A+B,"not visible in m8, but visible in velocity channels",9,60.69,149.22,104.955,104.955,-39.69,-158.98,-99.335,80.665,92.81,24.29
HOPS-213,"A, B",A+B,"Image is fuzzy, outflows faint but distinct, double check blue side",3,-45.86,-140.65,-93.255,266.745,27.49,136.97,82.23,262.23,264.4875,4.515
HOPS-75,"A, B",A+B,"red outflow is offset from binary, outflows messy",11,62.03,137.31,99.67,99.67,-63.63,-109.6,-86.615,93.385,96.5275,6.285
HOPS-384,"A, AB, B, C",A+AB,"discernable v shape, see channel 109, but messy and only blue lobe",11,160.85,207.89,184.37,184.37,,,,,184.37,184.37
HOPS-173,"A, B",A+B,"faint v shape, see channel 102, one side unclear",7.5,-85.86,-140.16,-113.01,246.99,,,,,246.99,246.99
HOPS-77,"AA, AB, B",AA+AB,possible blue lobe see channel 109,10,33,105.59,69.295,69.295,,,,,69.295,69.295
