field,confidence,type,separation,class,outflow_source,outflow_PA,lobe_PA_offset,binary_PA,delta_PA
Per-emb-22,HIGH,Binary,225.4,0,A+B,129,8,265,44
Per-emb-107,HIGH,Binary,-,-,b-o,127,6,11,63
Per-emb-33,HIGH,Binary,79.6,0,A+B,123,,329,26
Per-emb-33,HIGH,Tertiary,263.2,0,C,108,,,
Per-emb-17,HIGH,Binary,83.4,0,A+B,56,16,147,89
Per-emb-35,HIGH,Binary,572.5,I,A,299,,64,55
Per-emb-35,HIGH,Binary,572.5,I,B,130,5,64,66
Per-emb-27,HIGH,Binary,186.0,0,A,23,24,195,8
Per-emb-27,HIGH,Binary,186.0,0,B,114,,195,81
Per-emb-36,LOW,Binary,93.3,I,A+B,46,36,0,46
Per-emb-44,LOW,Binary,90.1,0,A+B,319,48,268,51
Per-emb-12,HIGH,Binary,549.0,0,B,28,6,308,80
Per-emb-12,HIGH,Binary,549.0,0,A,0,19,308,53
Per-emb-18,HIGH,Binary,25.5,0,A+B,347,,259,87
Per-emb-2,HIGH,Binary,24.1,0,B,306,2,327,21
HOPS-32,HIGH,Binary,162.2,0,B,159,4,233,74
HOPS-12,HIGH,Tertiary,1853.5,0,A,157,,,
HOPS-12,HIGH,Binary,80.6,0,B-A,157,2,45,68
HOPS-92,HIGH,Tertiary,498.8,FS,B,269,,,
HOPS-92,HIGH,Binary,108.4,FS,A-A+A-B,76,,209,47
HOPS-84,HIGH,Binary,275.5,I,A+B,83,3,209,53
HOPS-75,LOW,Binary,99.8,0,A+B,100,,187,87
HOPS-182,HIGH,Binary,381.5,0,A+B,235,16,198,37
HOPS-168,HIGH,Binary,73.7,0,A+B,159,5,59,79
HOPS-203,HIGH,Binary,49.7,0,A+B,144,,201,57
HOPS-203,HIGH,Tertiary,1085.5,0,C,101,,,
HOPS-173,LOW,Binary,103.0,0,A+B,247,,146,79
HOPS-193,HIGH,Binary,100.0,I,A+B,94,8,177,83
HOPS-395,HIGH,Binary,65.4,0,B,174,14,263,89
HOPS-288,HIGH,Binary,61.3,0,A-A+A-B,56,,150,86
HOPS-288,HIGH,Tertiary,221.9,0,B,212,,,
HOPS-290,HIGH,Binary,332.7,0,A,294,4,298,5
HOPS-290,HIGH,Binary,332.7,0,B,229,3,298,70
HOPS-281,HIGH,Binary,311.6,FS,A,26,3,253,47
HOPS-282,HIGH,Binary,70.1,I,A+B,183,4,263,80
HOPS-384,LOW,Binary,49.0,0,A+A-B,184,,40,35
HOPS-304,HIGH,Binary,272.7,FS,A+B,332,30,252,80
HOPS-400,HIGH,Binary,184.0,0,A,267,19,158,71
HOPS-213,LOW,Binary,114.4,FS,A+B,264,5,319,55
HOPS-312,HIGH,Binary,134.7,0,A+B,216,1,137,80
HOPS-363,LOW,Binary,79.5,FS,A+B,93,24,124,31
HOPS-323,HIGH,Binary,273.6,I,A+B,303,7,224,79
HOPS-366,HIGH,Binary,61.1,I,A+B,137,,37,80
HOPS-361-N,HIGH,Binary,37.6,0,C-A+C-B,201,,288,87
HOPS-364,HIGH,Binary,65.5,I,A+B,276,18,301,24
HH270VLA1,HIGH,Binary,99.4,0,A+B,50,1,124,74
