group,field,confidence,source_a,source_a_ra,source_a_dec,source_b,source_b_ra,source_b_dec,distance,outflow_source,red_channels,blue_channels,red_outflow_PA,blue_outflow_PA,outflow_PA,lobe_PA_offset,binary_PA,delta_PA
perseus,Per-emb-22,HC,A,51.34333333333333,30.753669444444444,B,51.343125,30.75365,300.0,both,155-170,138-144,312.68,304.99,308.835,7.69,264.6678411183017,44.1671588816983
perseus,L1448 IRS3C,HC,A,51.39864583333333,30.75945,B,51.39865833333333,30.759516666666666,300.0,both,161-174,150-156,309.99,304.31,307.15,5.68,10.619655273758553,63.469655273758576
perseus,Per-emb-33,HC,A,51.401333333333326,30.75412222222222,B,51.401291666666665,30.754191666666667,300.0,both,154-164,,303.27,,303.27,,329.036243471806,25.766243471806035
perseus,Per-emb-33,HC,C,51.401583333333335,30.754066666666667,,,,300.0,C,154-165,,287.655,,287.655,,,
perseus,Per-emb-17,HC,A,51.91291666666667,30.21752222222222,B,51.912958333333336,30.217458333333333,300.0,both,156-162,144-148,227.65,243.65,235.65,16.0,146.8886580386561,88.7613419613439
perseus,Per-emb-35,HC,A,52.154541666666674,31.225205555555554,B,52.15508333333333,31.22547222222222,300.0,A,159-164,,,118.9,118.9,,63.7886219818846,55.1113780181154
perseus,Per-emb-35,HC,A,52.154541666666674,31.225205555555554,B,52.15508333333333,31.22547222222222,300.0,B,159-163,,312.65,307.715,310.1825,4.935,63.7886219818846,66.3938780181154
perseus,Per-emb-27,HC,A,52.23154166666667,31.243597222222224,B,52.2315,31.24343888888889,300.0,A,161-165,142-148,190.88,214.6,202.74,23.72,194.74356283919184,7.996437160808171
perseus,Per-emb-27,HC,A,52.23154166666667,31.243597222222224,B,52.2315,31.24343888888889,300.0,B,161-166,142-149,293.92,,293.92,,194.74356283919184,80.82356283919182
perseus,Per-emb-36,LC,A,52.239041666666665,31.237719444444444,B,52.239041666666665,31.237808333333334,300.0,both,162-167,144-149,244.46,208.435,226.4475,36.025,0.0,46.44749999999999
perseus,Per-emb-44,LC,A,52.26566666666667,31.267725,B,52.26558333333334,31.267722222222222,300.0,both,169-175,93-104,162.975,114.885,138.93,48.09,268.0908475676543,50.83915243234571
perseus,Per-emb-12,HC,A,52.293875,31.225275,B,52.293458333333334,31.22559722222222,300.0,A,159-164,140-147,189.815,170.88,180.3475,18.935,307.71597634540785,52.631523654592144
perseus,Per-emb-12,HC,A,52.293875,31.225275,B,52.293458333333334,31.22559722222222,300.0,B,159-164,140-147,205.165,211.11,208.1375,5.945,307.71597634540785,80.42152365459214
perseus,Per-emb-18,HC,A,52.29694583333334,31.308608333333336,B,52.29691666666667,31.30860277777778,300.0,both,160-165,,166.545,,166.545,,259.2157021314753,87.32929786852466
perseus,Per-emb-2,HC,A,53.074729166666664,30.829897222222222,B,53.07471666666667,30.829916666666666,300.0,B,158-163,146-150,127.06,125.285,126.1725,1.775,327.26477373371245,21.09227373371243
orion,HOPS-32,HC,A,83.647725,-5.666480555555556,B,83.64763333333332,-5.66655,390.6,B,102-106,95-98,341.235,336.855,339.045,4.38,232.85331330529164,73.80831330529162
orion,HOPS-12,HC,A,83.7859625,-5.931844444444445,,,,388.6,A,,92-97,,336.98,336.98,,,
orion,HOPS-12,HC,B-A,83.78727083333334,-5.931952777777778,B-B,83.7873125,-5.931911111111112,388.6,B-A,103-107,92-97,336.195,338.05,337.1225,1.855,44.999999996336,67.87749999633598
orion,HOPS-92,HC,B,83.82612499999999,-5.009422222222223,,,,392.7,B,,93-97,,88.76,88.76,,,
orion,HOPS-92,HC,A-A,83.82640416666666,-5.00915,A-B,83.82636666666666,-5.009216666666667,392.7,both,106-112,,256.03,,256.03,,209.35775354576305,46.67224645423693
orion,HOPS-84,HC,A,83.86066666666667,-5.065311111111111,B,83.86057083333333,-5.065480555555555,392.8,both,104-107,98-100,261.395,264.235,262.815,2.84,209.49136180671576,53.32363819328424
orion,HOPS-75,LC,A,83.86116666666666,-5.102919444444444,B,83.86115833333332,-5.102988888888889,392.8,both,106-108,,279.67,,279.67,,186.8427734186124,87.1727734186124
orion,HOPS-182,HC,A,84.0783125,-6.369502777777777,B,84.07822916666666,-6.369763888888889,385.1,both,104-107,88-93,46.64,62.645,54.6425,16.005,197.70042778919407,36.94207221080592
orion,HOPS-168,HC,A,84.07892083333333,-6.75655,B,84.07896666666666,-6.756522222222222,383.3,both,104-115,91-98,337.07,341.63,339.35,4.56,58.78159723476777,79.43159723476776
orion,HOPS-203,HC,A,84.09527083333333,-6.768508333333333,B,84.09525833333333,-6.768541666666667,383.5,both,,96-100,,323.81,323.81,,200.5560452147316,56.746045214731595
