pair,tertiary,separation,class
HH270VLA1,False,99.4,0
HOPS-12,True,1853.5,0
HOPS-12,False,80.6,0
HOPS-168,False,73.7,0
HOPS-173,False,103.0,0
HOPS-182,False,381.5,0
HOPS-193,False,100.0,I
HOPS-203,False,49.7,0
HOPS-203,True,1085.5,0
HOPS-213,False,114.4,FS
HOPS-281,False,311.6,FS
HOPS-282,False,70.1,I
HOPS-288,True,221.9,0
HOPS-288,False,61.3,0
HOPS-290,False,332.7,0
HOPS-304,False,272.7,FS
HOPS-312,False,134.7,0
HOPS-32,False,162.2,0
HOPS-323,False,273.6,I
HOPS-361-N,False,37.6,0
HOPS-363,False,79.5,FS
HOPS-364,False,65.5,I
HOPS-366,False,61.1,I
HOPS-384,False,49.0,0
HOPS-395,False,65.4,0
HOPS-400,False,184.0,0
HOPS-75,False,99.8,0
HOPS-84,False,275.5,I
HOPS-92,False,108.4,FS
HOPS-92,True,498.8,FS
Per-emb-12,False,549.0,0
Per-emb-17,False,83.4,0
Per-emb-18,False,25.5,0
Per-emb-2,False,24.1,0
Per-emb-22,False,225.4,0
Per-emb-27,False,186.0,0
Per-emb-33,True,263.2,0
Per-emb-33,False,79.6,0
Per-emb-35,False,572.5,I
Per-emb-36,False,93.3,I
Per-emb-44,False,90.1,0
