Main,Source,RA,Dec,Dis
HH270VLA1,HH270VLA1-A,87.8941125,2.946113888888889,430.1
HH270VLA1,HH270VLA1-B,87.89416666666666,2.946077777777778,430.1
HOPS-12,HOPS-12-A,83.7859625,-5.931844444444445,388.6
HOPS-12,HOPS-12-B-A,83.78727083333334,-5.931952777777778,388.6
HOPS-12,HOPS-12-B-B,83.7873125,-5.931911111111112,388.6
HOPS-138,HOPS-138-A,84.70132083333333,-7.045466666666667,390.5
HOPS-138,HOPS-138-B,84.70140833333332,-7.045466666666667,390.5
HOPS-158,HOPS-158-A,84.35197083333334,-6.975805555555556,386.2
HOPS-158,HOPS-158-B,84.352,-6.975819444444444,386.2
HOPS-163,HOPS-163-A,84.3219875,-6.605052777777777,385.7
HOPS-163,HOPS-163-B,84.32220416666668,-6.605027777777777,385.7
HOPS-168,HOPS-168-A,84.07892083333333,-6.75655,383.3
HOPS-168,HOPS-168-B,84.07896666666666,-6.756522222222222,383.3
HOPS-173,HOPS-173-A,84.10850416666666,-6.418080555555556,384.9
HOPS-173,HOPS-173-B,84.10854583333332,-6.418141666666667,384.9
HOPS-182,HOPS-182-A,84.0783125,-6.369502777777777,385.1
HOPS-182,HOPS-182-B,84.07822916666666,-6.369763888888889,385.1
HOPS-182,HOPS-182-C,84.07699166666666,-6.37045,385.1
HOPS-193,HOPS-193-A,84.12617499999999,-6.021419444444445,387.8
HOPS-193,HOPS-193-B,84.12617916666666,-6.021491666666667,387.8
HOPS-203,HOPS-203-A,84.09527083333333,-6.768508333333333,383.5
HOPS-203,HOPS-203-B,84.09525833333333,-6.768541666666667,383.5
HOPS-203,HOPS-203-C,84.09540833333332,-6.769297222222222,383.5
HOPS-213,HOPS-213-A,85.70036666666667,-8.669019444444444,435.6
HOPS-213,HOPS-213-B,85.70032083333334,-8.668966666666666,435.6
HOPS-242,HOPS-242-A,85.20220833333335,-8.185805555555556,429.6
HOPS-242,HOPS-242-B,85.2022875,-8.18581388888889,429.6
HOPS-248,HOPS-248-A,85.34224166666667,-7.967522222222223,430.7
HOPS-248,HOPS-248-B,85.3422,-7.9674861111111115,430.7
HOPS-255,HOPS-255-A,85.21073333333334,-8.096861111111112,428.4
HOPS-255,HOPS-255-B,85.21069583333333,-8.096825,428.4
HOPS-261,HOPS-261-A,85.32870416666667,-7.924602777777778,429.8
HOPS-261,HOPS-261-B,85.328725,-7.924816666666667,429.8
HOPS-28,HOPS-28-A,83.69716666666666,-5.698911111111111,390.6
HOPS-28,HOPS-28-B,83.69709583333334,-5.698969444444445,390.6
HOPS-281,HOPS-281-A,85.1027,-7.718930555555556,416.1
HOPS-281,HOPS-281-B,85.1025,-7.718991666666667,416.1
HOPS-282,HOPS-282-A,85.10871250000001,-7.625577777777778,414.7
HOPS-282,HOPS-282-B,85.10866666666668,-7.625583333333334,414.7
HOPS-288,HOPS-288-A-A,84.9833375,-7.5076583333333335,405.5
HOPS-288,HOPS-288-A-B,84.98335833333334,-7.507694444444445,405.5
HOPS-288,HOPS-288-B,84.98347083333333,-7.507766666666667,405.5
HOPS-290,HOPS-290-A,84.98907083333334,-7.492527777777778,405.5
HOPS-290,HOPS-290-B,84.98887083333334,-7.492419444444445,405.5
HOPS-304,HOPS-304-A,85.441475,-1.9407194444444444,409.5
HOPS-304,HOPS-304-B,85.4413,-1.9407777777777777,409.5
HOPS-312,HOPS-312-A,85.77370833333335,-1.265163888888889,416.3
HOPS-312,HOPS-312-B,85.77377083333333,-1.2652305555555556,416.3
HOPS-32,HOPS-32-A,83.647725,-5.666480555555556,390.6
HOPS-32,HOPS-32-B,83.64763333333332,-5.66655,390.6
HOPS-323,HOPS-323-A,86.6987375,0.0070194444444444445,428.4
HOPS-323,HOPS-323-B,86.6986125,0.006891666666666667,428.4
HOPS-357,HOPS-357-A,85.41303333333335,-1.8687361111111112,409.4
HOPS-357,HOPS-357-B,85.41309583333334,-1.8686916666666666,409.4
HOPS-361-N,HOPS-361-N-A,86.76992916666666,0.36190555555555554,430.4
HOPS-361-N,HOPS-361-N-B,86.7698125,0.362625,430.4
HOPS-361-N,HOPS-361-N-C-A,86.76929583333333,0.3632916666666666,430.4
HOPS-361-N,HOPS-361-N-C-B,86.76927083333334,0.36329999999999996,430.4
HOPS-361-N,HOPS-361-N-D,86.7679875,0.36056666666666665,430.4
HOPS-361-N,HOPS-361-N-E-A,86.76926666666667,0.3614722222222222,400.0
HOPS-361-N,HOPS-361-N-E-B,86.76925833333333,0.3614833333333333,400.0
HOPS-361-N,HOPS-361-N-F,86.77069583333333,0.3613166666666666,430.4
HOPS-361-N,HOPS-361-N-G-A,86.7723625,0.3640361111111111,430.4
HOPS-361-N,HOPS-361-N-G-B,86.7727125,0.3639111111111111,430.4
HOPS-361-N,HOPS-361-N-H,86.77135416666667,0.3670722222222222,430.4
HOPS-361-N,HOPS-361-N-I,86.76769166666666,0.35630555555555554,430.4
HOPS-361-N,HOPS-361-N-J,86.76885416666666,0.3566361111111111,430.4
HOPS-363,HOPS-363-A,86.679675,0.014541666666666666,428.4
HOPS-363,HOPS-363-B,86.67971666666666,0.014513888888888889,428.4
HOPS-364,HOPS-364-A,86.90234583333333,0.33497777777777776,427.8
HOPS-364,HOPS-364-B,86.90230833333332,0.33499999999999996,427.8
HOPS-366,HOPS-366-A,86.76667916666666,0.36953611111111107,430.5
HOPS-366,HOPS-366-B,86.76670416666667,0.3695694444444444,430.5
HOPS-384,HOPS-384-A,85.43389583333334,-1.9127944444444445,409.5
HOPS-384,HOPS-384-A-B,85.43391666666668,-1.9127694444444443,409.5
HOPS-384,HOPS-384-B,85.4334,-1.9119833333333331,409.5
HOPS-384,HOPS-384-C,85.43438333333334,-1.915425,409.5
HOPS-384,HOPS-384-region-D,85.43968333333333,-1.907538888888889,409.5
HOPS-384,HOPS-384-region-E,85.4405625,-1.9161027777777777,409.5
HOPS-384,HOPS-384-region-G,85.43297916666667,-1.9094694444444444,409.5
HOPS-384,HOPS-384-region-H,85.44125833333334,-1.9031027777777776,409.5
HOPS-384,NGC2024-FIR3-A,85.42952916666667,-1.9072972222222222,409.5
HOPS-384,NGC2024-FIR3-B,85.4298625,-1.907061111111111,409.5
HOPS-395,HOPS-395-A,84.82121666666667,-7.406819444444444,397.2
HOPS-395,HOPS-395-B,84.82117083333334,-7.406825,397.2
HOPS-400,HOPS-400-A,85.688525,-1.2704499999999999,415.4
HOPS-400,HOPS-400-B,85.68857083333333,-1.2705638888888888,415.4
HOPS-43,HOPS-43,83.7687625,-5.587438888888888,391.7
HOPS-45,HOPS-45-A,83.77690416666667,-5.559716666666667,391.9
HOPS-45,HOPS-45-B,83.77689166666667,-5.5598,391.9
HOPS-56,HOPS-56-A-A,83.83117499999999,-5.259188888888889,392.8
HOPS-56,HOPS-56-A-B,83.831125,-5.259155555555555,392.8
HOPS-56,HOPS-56-A-C,83.83117083333333,-5.259113888888889,392.8
HOPS-56,HOPS-56-B,83.83091666666667,-5.260636111111111,392.8
HOPS-70,HOPS-70-A-A,83.84335833333333,-5.1347611111111116,392.8
HOPS-70,HOPS-70-A-B,83.84344166666666,-5.134730555555556,392.8
HOPS-70,HOPS-70-B-A,83.84400833333333,-5.133533333333334,392.8
HOPS-70,HOPS-70-B-B,83.84404166666667,-5.133422222222222,392.8
HOPS-70,HOPS-70-C,83.84140833333332,-5.134605555555556,392.8
HOPS-75,HOPS-75-A,83.86116666666666,-5.102919444444444,392.8
HOPS-75,HOPS-75-B,83.86115833333332,-5.102988888888889,392.8
HOPS-77,HOPS-77-A-A,83.8814125,-5.096480555555555,392.8
HOPS-77,HOPS-77-A-B,83.88143749999999,-5.0965,392.8
HOPS-77,HOPS-77-B,83.881125,-5.0961388888888886,392.8
HOPS-84,HOPS-84-A,83.86066666666667,-5.065311111111111,392.8
HOPS-84,HOPS-84-B,83.86057083333333,-5.065480555555555,392.8
HOPS-85,HOPS-85-A,83.86745416666666,-5.061444444444445,392.8
HOPS-85,HOPS-85-B,83.86747083333333,-5.061469444444445,392.8
HOPS-92,HOPS-92-A-A,83.82640416666666,-5.00915,392.7
HOPS-92,HOPS-92-A-B,83.82636666666666,-5.009216666666667,392.7
HOPS-92,HOPS-92-B,83.82612499999999,-5.009422222222223,392.7
L1448 IRS1,L1448 IRS1-A,51.28939583333333,30.77273333333333,300.0
L1448 IRS1,L1448 IRS1-B,51.28924166666666,30.772369444444443,300.0
Per2,Per2-A,53.074729166666664,30.829897222222222,300.0
Per2,Per2-B,53.07471666666667,30.829916666666666,300.0
Per2,Per2-C,53.074725,30.82980277777778,300.0
Per2,Per2-D,53.074774999999995,30.829527777777777,300.0
Per2,Per2-E,53.074666666666666,30.830052777777777,300.0
Per5,Per5-A,52.83725833333334,30.75838611111111,300.0
Per27,Per27-A,52.2315625,31.24358888888889,300.0
Per27,Per27-B,52.23153333333333,31.243419444444445,300.0
Per17,Per17-A,51.91296666666667,30.217494444444444,300.0
Per17,Per17-B,51.9130125,30.217425,300.0
Per18,Per18-A,52.29694583333334,31.308608333333336,300.0
Per18,Per18-B,52.29691666666667,31.30860277777778,300.0
Per21,Per21-A,52.294475000000006,31.305580555555558,300.0
Per22,Per22-A,51.34340416666666,30.753655555555557,300.0
Per22,Per22-B,51.3431625,30.753633333333333,300.0
Per33,Per33-A,51.401349999999994,30.754113888888888,300.0
Per33,Per33-B,51.401325,30.754183333333334,300.0
Per33,Per33-C,51.4016125,30.754066666666667,300.0
L1448 IRS3A+,L1448 IRS3A+-A,51.402091666666664,30.75606388888889,300.0
L1448 IRS3C,L1448 IRS3C-A,51.39864583333333,30.75945,300.0
L1448 IRS3C,L1448 IRS3C-B,51.39865833333333,30.759516666666666,300.0
Per35,Per35-A,52.15457083333333,31.225199999999997,300.0
Per35,Per35-B,52.15510416666667,31.225463888888886,300.0
Per36,Per36-A,52.23907916666667,31.237686111111113,300.0
Per36,Per36-B,52.23905416666667,31.237772222222222,300.0
Per44,Per44-A,52.26571666666667,31.26769722222222,300.0
Per44,Per44-B,52.26561666666667,31.267702777777778,300.0
SVS13A2+,SVS13A2+-A,52.26412916666667,31.267091666666666,300.0
SVS13B+,SVS13B+-A,52.26285416666667,31.264344444444443,300.0
