field,smallest_angle
HH270VLA1,73.5395825623072
HOPS-12,67.61280689502541
HOPS-32,73.61725113584109
HOPS-84,52.60995529257119
HOPS-168,79.2332462913757
HOPS-281,46.837474306940805
HOPS-312,79.37679293536996
HOPS-364,24.35129938637613
HOPS-395,89.06316071460374
HOPS-400,71.64984888254935
HOPS-290,4.793335934274178
HOPS-92,46.48345380403641
HOPS-182,36.848958301346414
HOPS-288,85.28386532211347
HOPS-323,77.76775027194239
HOPS-203,56.614376465621916
HOPS-282,80.20032743695035
HOPS-366,80.32946843921293
HOPS-193,82.9658578149655
HOPS-304,80.00083049672614
HOPS-361-N,87.82235436918803
HOPS-363,30.939027791941097
HOPS-213,55.05317176130654
HOPS-75,89.89627691040029
HOPS-384,35.4572143411247
HOPS-173,79.21427272623858
HOPS-77,58.62450988557865
